
,,,,,,,,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers
Rk,College/Univ,# of Pros,# Active,# of HOF,PB,G,TDs,Highest Career AV,AV,Most Touchdowns,TDs,Most Games Played,Games
1,Abilene Christian,32,2,0,4,1068,144,Wilbert Montgomery,71,Wilbert Montgomery,58,Danieal Manning,128
2,Acadia (Canada),1,0,0,0,100,15,Jerome Pathon,29,Jerome Pathon,15,Jerome Pathon,100
3,Adams St.,4,0,0,0,218,0,Don Cockroft,54,Ken Marchiol,0,Don Cockroft,188
4,Air Force,14,1,0,0,722,7,Larry Cole,59,Larry Cole,4,Larry Cole,176
5,Akron,27,1,0,6,1054,39,Jason Taylor,117,Jason Taylor,9,Jason Taylor,233
6,Ala-Birmingham,14,2,0,4,651,66,Roddy White,86,Roddy White,62,Bryan Thomas,157
7,Alabama,316,47,7,89,15531,814,John Hannah,111,Shaun Alexander,112,Chris Mohr,239
8,Alabama A&amp;M,16,2,1,8,946,91,John Stallworth,80,John Stallworth,64,Mike Hegman,170
9,Alabama St.,24,3,0,0,1085,54,Eddie Robinson,64,Brad Baxter,35,Eddie Robinson,175
10,Albany (NY),1,0,0,0,6,0,Rashad Barksdale,0,Rashad Barksdale,0,Rashad Barksdale,6
11,Albany State (GA),8,0,0,0,380,0,Kenneth Gant,11,Jeff Hunter,0,Dan Land,140
12,Albion,2,1,0,0,5,0,Joe Felton,1,Joe Felton,0,Chris Greenwood,3
13,Albright,5,0,0,1,101,14,Knuckles Boyle,0,Dick Riffle,12,Dick Riffle,53
14,Alcorn St.,52,0,0,12,3168,221,Steve McNair,100,Donald Driver,62,Donald Driver,205
15,Alfred,3,0,0,0,39,4,Les Goble,0,Les Goble,3,Les Goble,21
16,Allegheny,3,0,0,0,23,0,Ronnie Anderson,0,Ronnie Anderson,0,Babe Parnell,18
17,Allen,4,0,0,0,252,0,Sam Davis,48,George Harold,0,Sam Davis,168
18,Allentown College,1,0,0,0,3,1,Jamie Kurisko,0,Jamie Kurisko,1,Jamie Kurisko,3
19,Alma,1,0,0,0,19,0,Mark Konecny,1,Mark Konecny,0,Mark Konecny,19
